Time,RAINRATE,T2D,Q2D,U2D,V2D,PSFC,SWDOWN,LWDOWN
2012-06-01 00:00:00,0.00000000,287.32,0.00742, 2.320,-2.628, 98388.9,  7.74,317.59
2012-06-01 01:00:00,0.00000000,286.02,0.00710, 2.187,-2.971, 98469.4,  0.00,317.16
2012-06-01 02:00:00,0.00007334,284.73,0.00678, 2.036,-3.319, 98550.3,  0.00,316.74
2012-06-01 03:00:00,0.00007380,283.43,0.00646, 1.900,-3.660, 98631.6,  0.00,276.65
2012-06-01 04:00:00,0.00000000,282.17,0.00615, 1.779,-3.764, 98669.2,  0.00,275.77
2012-06-01 05:00:00,0.00000000,280.91,0.00585, 1.655,-3.869, 98706.7,  0.00,274.89
2012-06-01 06:00:00,0.00000000,279.66,0.00555, 1.535,-3.972, 98741.5,  0.00,255.62
2012-06-01 07:00:00,0.00000000,278.80,0.00527, 1.467,-3.753, 98774.8,  0.00,254.65
2012-06-01 08:00:00,0.00000000,277.93,0.00499, 1.391,-3.541, 98804.9,  0.00,253.64
2012-06-01 09:00:00,0.00000000,277.07,0.00472, 1.319,-3.326, 98834.9, 21.73,252.56
2012-06-01 10:00:00,0.00000000,279.30,0.00529, 1.252,-4.011, 98922.6,158.58,255.08
2012-06-01 11:00:00,0.00000000,281.52,0.00590, 1.180,-4.698, 99010.1,300.26,257.59
2012-06-01 12:00:00,0.00000000,283.75,0.00655, 1.114,-5.390, 99099.4,446.81,283.26
2012-06-01 13:00:00,0.00000000,285.51,0.00673, 1.184,-5.483, 99054.3,599.83,285.58
2012-06-01 14:00:00,0.00000000,287.27,0.00691, 1.252,-5.575, 99007.6,730.93,287.91
2012-06-01 15:00:00,0.00000000,289.04,0.00710, 1.322,-5.673, 98963.0,719.30,337.67
2012-06-01 16:00:00,0.00000000,289.85,0.00739, 1.102,-5.419, 98954.6,757.92,338.83
2012-06-01 17:00:00,0.00000000,290.68,0.00770, 0.883,-5.170, 98942.2,759.18,339.99
2012-06-01 18:00:00,0.00000000,291.50,0.00802, 0.663,-4.917, 98932.6,710.46,341.26
2012-06-01 19:00:00,0.00000000,291.90,0.00818, 0.393,-4.634, 98947.2,626.75,341.74
2012-06-01 20:00:00,0.00000000,292.30,0.00834, 0.125,-4.348, 98960.7,525.43,342.25
2012-06-01 21:00:00,0.00000000,292.71,0.00851,-0.147,-4.060, 98974.3,410.94,346.14
2012-06-01 22:00:00,0.00000000,291.16,0.00826,-0.305,-3.527, 98972.8,276.48,343.42
2012-06-01 23:00:00,0.00000000,289.61,0.00802,-0.459,-2.990, 98973.7,145.83,340.70
2012-06-02 00:00:00,0.00000000,288.06,0.00778,-0.621,-2.457, 98975.4, 12.49,299.35
2012-06-02 01:00:00,0.00000000,287.06,0.00692,-0.590,-1.857, 98968.3,  0.00,297.64
2012-06-02 02:00:00,0.00000000,286.06,0.00611,-0.559,-1.262, 98959.5,  0.00,295.92
2012-06-02 03:00:00,0.00000000,285.06,0.00533,-0.531,-0.661, 98955.4,  0.00,272.58
2012-06-02 04:00:00,0.00000000,283.73,0.00506,-0.469, 0.015, 99023.0,  0.00,270.52
2012-06-02 05:00:00,0.00000000,282.39,0.00481,-0.410, 0.698, 99093.6,  0.00,268.46
2012-06-02 06:00:00,0.00000000,281.05,0.00456,-0.349, 1.373, 99164.3,  0.00,270.29
2012-06-02 07:00:00,0.00000000,280.09,0.00446,-0.958, 1.091, 99091.9,  0.00,269.06
2012-06-02 08:00:00,0.00000000,279.13,0.00435,-1.572, 0.802, 99019.5,  0.00,267.77
2012-06-02 09:00:00,0.00000000,278.17,0.00424,-2.178, 0.520, 98945.8, 20.32,288.37
2012-06-02 10:00:00,0.00000000,281.00,0.00521,-2.568, 0.846, 98974.4,141.72,292.71
2012-06-02 11:00:00,0.00000000,283.84,0.00629,-2.953, 1.175, 98994.4,267.41,297.07
2012-06-02 12:00:00,0.00000000,286.66,0.00748,-3.341, 1.506, 99015.6,334.31,342.65
2012-06-02 13:00:00,0.00000000,288.08,0.00783,-3.394, 2.861, 99006.3,448.57,344.26
2012-06-02 14:00:00,0.00000000,289.51,0.00818,-3.450, 4.225, 98993.6,546.47,345.85
2012-06-02 15:00:00,0.00000000,290.93,0.00854,-3.500, 5.587, 98980.7,542.36,363.92
2012-06-02 16:00:00,0.00000000,290.92,0.00877,-3.785, 5.060, 98943.8,571.53,363.40
2012-06-02 17:00:00,0.00000000,290.91,0.00900,-4.072, 4.535, 98906.0,572.65,362.88
2012-06-02 18:00:00,0.00000000,290.90,0.00922,-4.355, 4.009, 98867.9,505.03,366.67
2012-06-02 19:00:00,0.00000000,290.68,0.00916,-4.423, 4.342, 98761.8,445.70,365.94
2012-06-02 20:00:00,0.00000000,290.45,0.00911,-4.490, 4.683, 98655.7,373.74,365.15
2012-06-02 21:00:00,0.00000000,290.23,0.00905,-4.552, 5.011, 98548.7,234.92,358.02
2012-06-02 22:00:00,0.00000000,288.74,0.00884,-4.173, 4.277, 98647.9,158.42,355.33
2012-06-02 23:00:00,0.00000000,287.25,0.00862,-3.793, 3.541, 98747.1, 84.04,352.62
2012-06-03 00:00:00,0.00000000,285.75,0.00840,-3.414, 2.804, 98846.1,  7.92,346.28
2012-06-03 01:00:00,0.00000000,285.13,0.00806,-3.595, 2.310, 98788.4,  0.00,345.67
2012-06-03 02:00:00,0.00000000,284.50,0.00772,-3.780, 1.812, 98730.7,  0.00,345.06
2012-06-03 03:00:00,0.00000000,283.88,0.00738,-3.963, 1.321, 98672.3,  0.00,340.99
2012-06-03 04:00:00,0.00000000,283.65,0.00738,-4.241, 1.186, 98682.1,  0.00,341.17
2012-06-03 05:00:00,0.00000000,283.42,0.00738,-4.523, 1.058, 98695.8,  0.00,341.30
2012-06-03 06:00:00,0.00000000,283.19,0.00737,-4.807, 0.926, 98704.8,  0.00,344.49
2012-06-03 07:00:00,0.00000000,283.04,0.00736,-4.831, 0.845, 98638.0,  0.00,345.19
2012-06-03 08:00:00,0.00000000,282.88,0.00734,-4.864, 0.762, 98567.8,  0.00,345.92
2012-06-03 09:00:00,0.00000000,282.73,0.00732,-4.892, 0.680, 98497.5,  6.69,345.67
2012-06-03 10:00:00,0.00000000,282.94,0.00730,-5.419, 0.540, 98545.0, 44.83,346.79
2012-06-03 11:00:00,0.00000000,283.15,0.00728,-5.941, 0.404, 98589.9, 84.33,347.91
2012-06-03 12:00:00,0.00000000,283.36,0.00725,-6.463, 0.268, 98639.2,180.39,347.58
2012-06-03 13:00:00,0.00000434,284.14,0.00757,-6.336, 0.004, 98576.3,241.94,349.45
2012-06-03 14:00:00,0.00000217,284.93,0.00790,-6.207,-0.257, 98512.9,294.67,351.33
2012-06-03 15:00:00,0.00000000,285.72,0.00824,-6.081,-0.516, 98445.8,416.06,351.16
2012-06-03 16:00:00,0.00000017,286.26,0.00852,-6.107,-0.939, 98399.8,438.48,351.09
2012-06-03 17:00:00,0.00000217,286.81,0.00880,-6.133,-1.352, 98349.3,439.33,351.08
2012-06-03 18:00:00,0.00001166,287.35,0.00908,-6.159,-1.770, 98301.9,424.74,361.93
2012-06-03 19:00:00,0.00008652,287.30,0.00910,-5.958,-1.505, 98320.4,375.06,361.31
2012-06-03 20:00:00,0.00007704,287.26,0.00913,-5.759,-1.242, 98338.8,314.78,360.74
2012-06-03 21:00:00,0.00001632,287.21,0.00916,-5.558,-0.977, 98358.3,214.77,360.41
2012-06-03 22:00:00,0.00001673,286.31,0.00877,-5.094,-1.334, 98341.1,145.03,361.19
2012-06-03 23:00:00,0.00001629,285.42,0.00838,-4.629,-1.689, 98323.3, 77.34,361.99
2012-06-04 00:00:00,0.00001520,284.52,0.00798,-4.166,-2.038, 98305.7,  8.90,345.76
2012-06-04 01:00:00,0.00001411,284.12,0.00783,-4.598,-2.484, 98328.8,  0.00,346.33
2012-06-04 02:00:00,0.00001184,283.72,0.00766,-5.039,-2.926, 98355.1,  0.00,346.92
2012-06-04 03:00:00,0.00001184,283.32,0.00750,-5.471,-3.375, 98382.3,  0.00,335.44
2012-06-04 04:00:00,0.00001184,282.81,0.00727,-5.130,-3.634, 98351.5,  0.00,335.98
2012-06-04 05:00:00,0.00000772,282.29,0.00704,-4.790,-3.895, 98319.7,  0.00,336.49
2012-06-04 06:00:00,0.00000000,281.78,0.00680,-4.450,-4.158, 98288.1,  0.00,320.41
2012-06-04 07:00:00,0.00000000,281.42,0.00665,-3.784,-4.025, 98221.1,  0.00,320.64
2012-06-04 08:00:00,0.00000000,281.07,0.00651,-3.125,-3.893, 98153.8,  0.00,320.90
2012-06-04 09:00:00,0.00000000,280.71,0.00636,-2.464,-3.763, 98087.4, 21.08,315.23
2012-06-04 10:00:00,0.00000000,281.66,0.00648,-3.098,-4.036, 98136.1,136.46,313.88
2012-06-04 11:00:00,0.00000000,282.61,0.00659,-3.736,-4.318, 98183.1,255.94,312.50
2012-06-04 12:00:00,0.00000000,283.57,0.00670,-4.365,-4.599, 98233.2,275.64,336.26
2012-06-04 13:00:00,0.00000000,284.34,0.00676,-4.761,-4.353, 98242.1,369.53,335.33
2012-06-04 14:00:00,0.00000000,285.12,0.00681,-5.150,-4.106, 98258.7,450.03,334.42
2012-06-04 15:00:00,0.00000000,285.89,0.00687,-5.541,-3.861, 98270.8,338.31,354.09
2012-06-04 16:00:00,0.00000000,286.08,0.00704,-4.871,-4.622, 98294.5,356.51,353.89
2012-06-04 17:00:00,0.00000000,286.28,0.00722,-4.200,-5.371, 98317.5,357.26,353.73
2012-06-04 18:00:00,0.00000000,286.47,0.00739,-3.532,-6.126, 98340.2,482.12,337.66
2012-06-04 19:00:00,0.00000000,286.51,0.00739,-3.828,-5.884, 98321.7,425.79,337.64
2012-06-04 20:00:00,0.00000000,286.55,0.00739,-4.124,-5.641, 98304.0,357.52,337.58
2012-06-04 21:00:00,0.00000000,286.59,0.00739,-4.415,-5.397, 98286.1,257.35,343.26
2012-06-04 22:00:00,0.00000000,286.04,0.00750,-4.012,-5.032, 98351.1,174.16,344.24
2012-06-04 23:00:00,0.00000000,285.49,0.00760,-3.607,-4.677, 98418.4, 93.32,345.19
2012-06-05 00:00:00,0.00000000,284.95,0.00771,-3.199,-4.312, 98480.6,  7.25,345.22
2012-06-05 01:00:00,0.00000000,284.43,0.00754,-2.798,-4.208, 98498.1,  0.00,346.28
2012-06-05 02:00:00,0.00000000,283.90,0.00735,-2.403,-4.094, 98515.2,  0.00,347.39
2012-06-05 03:00:00,0.00000000,283.38,0.00717,-2.003,-3.987, 98528.7,  0.00,297.18
2012-06-05 04:00:00,0.00000000,282.80,0.00693,-1.444,-3.937, 98480.9,  0.00,298.32
2012-06-05 05:00:00,0.00000000,282.21,0.00667,-0.885,-3.879, 98435.8,  0.00,299.46
2012-06-05 06:00:00,0.00000000,281.62,0.00641,-0.318,-3.826, 98388.4,  0.00,288.46
2012-06-05 07:00:00,0.00000000,281.45,0.00636,-0.192,-3.851, 98385.9,  0.00,288.87
2012-06-05 08:00:00,0.00000000,281.27,0.00630,-0.065,-3.874, 98381.9,  0.00,289.23
2012-06-05 09:00:00,0.00000000,281.10,0.00624, 0.066,-3.896, 98378.4, 14.61,307.76
2012-06-05 10:00:00,0.00000995,282.18,0.00660,-0.631,-4.381, 98430.4, 91.75,306.93
2012-06-05 11:00:00,0.00001377,283.25,0.00694,-1.327,-4.866, 98480.5,171.65,306.10
2012-06-05 12:00:00,0.00000000,284.33,0.00728,-2.021,-5.348, 98530.0,115.28,357.77
2012-06-05 13:00:00,0.00000000,284.82,0.00744,-2.214,-5.497, 98517.1,154.48,357.51
2012-06-05 14:00:00,0.00000000,285.32,0.00759,-2.404,-5.644, 98500.0,188.14,357.28
2012-06-05 15:00:00,0.00000000,285.82,0.00775,-2.598,-5.788, 98481.0,231.25,360.23
2012-06-05 16:00:00,0.00000000,286.11,0.00783,-2.133,-5.958, 98513.9,243.71,360.32
2012-06-05 17:00:00,0.00000000,286.41,0.00791,-1.672,-6.124, 98546.3,244.25,360.47
2012-06-05 18:00:00,0.00000000,286.70,0.00800,-1.207,-6.285, 98573.5,377.31,349.38
2012-06-05 19:00:00,0.00000000,287.08,0.00798,-1.662,-5.943, 98578.8,333.25,349.49
2012-06-05 20:00:00,0.00000000,287.45,0.00798,-2.123,-5.595, 98585.4,280.00,349.62
2012-06-05 21:00:00,0.00000000,287.83,0.00797,-2.589,-5.249, 98593.3,237.58,345.57
2012-06-05 22:00:00,0.00000000,286.63,0.00781,-2.333,-4.897, 98645.3,161.06,344.06
2012-06-05 23:00:00,0.00001740,285.44,0.00764,-2.087,-4.542, 98697.1, 86.74,342.51
2012-06-06 00:00:00,0.00000000,284.24,0.00748,-1.840,-4.192, 98747.9,  8.74,348.62
2012-06-06 01:00:00,0.00000000,283.64,0.00730,-1.476,-3.936, 98706.6,  0.00,347.69
2012-06-06 02:00:00,0.00000000,283.03,0.00713,-1.103,-3.679, 98665.0,  0.00,346.78
2012-06-06 03:00:00,0.00000000,282.42,0.00696,-0.735,-3.426, 98626.8,  0.00,343.10
2012-06-06 04:00:00,0.00000000,282.16,0.00688,-0.281,-3.342, 98647.7,  0.00,342.68
2012-06-06 05:00:00,0.00000000,281.89,0.00679, 0.178,-3.261, 98668.1,  0.00,342.28
2012-06-06 06:00:00,0.00000000,281.63,0.00671, 0.641,-3.178, 98689.6,  0.00,334.68
2012-06-06 07:00:00,0.00000000,281.52,0.00666, 0.777,-3.312, 98657.7,  0.00,334.46
2012-06-06 08:00:00,0.00000000,281.42,0.00661, 0.911,-3.453, 98623.9,  0.00,334.26
2012-06-06 09:00:00,0.00000000,281.31,0.00656, 1.043,-3.589, 98591.4, 11.56,343.25
2012-06-06 10:00:00,0.00000000,282.45,0.00690, 0.653,-4.000, 98625.9, 70.69,345.48
2012-06-06 11:00:00,0.00000000,283.59,0.00727, 0.261,-4.409, 98659.9,131.97,347.70
2012-06-06 12:00:00,0.00000000,284.73,0.00764,-0.129,-4.819, 98690.5,188.80,356.47
2012-06-06 13:00:00,0.00000000,285.69,0.00791,-0.015,-4.645, 98678.5,252.94,358.69
2012-06-06 14:00:00,0.00000000,286.65,0.00819, 0.092,-4.468, 98667.3,307.90,360.96
2012-06-06 15:00:00,0.00000000,287.61,0.00848, 0.203,-4.290, 98655.4,351.67,363.44
2012-06-06 16:00:00,0.00000000,288.08,0.00858, 0.417,-4.321, 98687.1,370.64,364.81
2012-06-06 17:00:00,0.00000000,288.55,0.00869, 0.629,-4.347, 98718.8,371.53,366.19
2012-06-06 18:00:00,0.00008410,289.02,0.00879, 0.839,-4.377, 98752.6,452.21,344.80
2012-06-06 19:00:00,0.00000143,289.57,0.00900, 0.430,-4.049, 98741.3,399.68,346.36
2012-06-06 20:00:00,0.00001271,290.12,0.00921, 0.014,-3.727, 98730.5,335.98,347.90
2012-06-06 21:00:00,0.00000000,290.67,0.00942,-0.398,-3.401, 98718.4,225.61,358.05
2012-06-06 22:00:00,0.00000000,288.83,0.00901,-0.495,-2.898, 98751.4,153.22,353.80
2012-06-06 23:00:00,0.00000299,286.99,0.00860,-0.582,-2.395, 98784.9, 82.92,349.57
2012-06-07 00:00:00,0.00027242,285.15,0.00820,-0.680,-1.890, 98818.8,  4.95,350.16
2012-06-07 01:00:00,0.00000000,283.90,0.00763,-0.540,-1.907, 98820.3,  0.00,346.80
2012-06-07 02:00:00,0.00000000,282.63,0.00710,-0.404,-1.923, 98820.7,  0.00,343.45
2012-06-07 03:00:00,0.00000000,281.38,0.00660,-0.268,-1.942, 98821.4,  0.00,332.03
2012-06-07 04:00:00,0.00000000,281.01,0.00649,-0.478,-1.742, 98816.9,  0.00,330.89
2012-06-07 05:00:00,0.00000000,280.65,0.00639,-0.694,-1.547, 98812.6,  0.00,329.76
2012-06-07 06:00:00,0.00000000,280.28,0.00629,-0.904,-1.347, 98809.1,  0.00,327.07
2012-06-07 07:00:00,0.00000000,280.10,0.00619,-0.938,-1.359, 98782.9,  0.00,326.54
2012-06-07 08:00:00,0.00000000,279.92,0.00610,-0.982,-1.365, 98751.6,  0.00,326.07
2012-06-07 09:00:00,0.00000000,279.74,0.00600,-1.018,-1.374, 98720.7,  7.49,335.21
2012-06-07 10:00:00,0.00000000,280.34,0.00615,-0.526,-1.422, 98765.3, 44.77,335.89
2012-06-07 11:00:00,0.00000000,280.93,0.00630,-0.037,-1.470, 98809.1, 83.39,336.59
2012-06-07 12:00:00,0.00000000,281.52,0.00645, 0.454,-1.518, 98851.5,208.77,343.18
2012-06-07 13:00:00,0.00000000,283.18,0.00693, 0.767,-1.989, 98799.6,279.65,346.18
2012-06-07 14:00:00,0.00000000,284.84,0.00742, 1.083,-2.461, 98749.8,340.43,349.18
2012-06-07 15:00:00,0.00000000,286.50,0.00795, 1.399,-2.935, 98699.3,523.66,350.40
2012-06-07 16:00:00,0.00000000,287.83,0.00814, 1.286,-2.873, 98652.1,551.96,353.06
2012-06-07 17:00:00,0.00000000,289.16,0.00832, 1.181,-2.807, 98609.8,553.40,355.73
2012-06-07 18:00:00,0.00000000,290.50,0.00851, 1.071,-2.743, 98566.1,657.46,348.19
2012-06-07 19:00:00,0.00000000,291.38,0.00874, 1.631,-2.421, 98590.9,581.23,350.09
2012-06-07 20:00:00,0.00000000,292.26,0.00897, 2.185,-2.093, 98618.9,488.85,351.93
2012-06-07 21:00:00,0.00000000,293.15,0.00920, 2.745,-1.771, 98644.2,388.76,365.63
2012-06-07 22:00:00,0.00000000,291.77,0.00911, 2.481,-1.689, 98620.1,264.42,363.35
2012-06-07 23:00:00,0.00000000,290.40,0.00901, 2.220,-1.597, 98596.0,143.67,361.03
2012-06-08 00:00:00,0.00000000,289.03,0.00890, 1.955,-1.516, 98572.7, 21.04,309.55
2012-06-08 01:00:00,0.00000000,287.03,0.00783, 2.491,-0.646, 98593.1,  0.00,305.09
2012-06-08 02:00:00,0.00000000,285.03,0.00684, 3.016, 0.218, 98612.3,  0.00,300.67
2012-06-08 03:00:00,0.00012672,283.02,0.00595, 3.545, 1.085, 98630.9,  0.00,268.57
2012-06-08 04:00:00,0.00009262,281.81,0.00554, 3.497, 0.871, 98562.9,  0.00,267.26
2012-06-08 05:00:00,0.00006693,280.60,0.00515, 3.445, 0.661, 98497.8,  0.00,265.95
2012-06-08 06:00:00,0.00000000,279.40,0.00478, 3.391, 0.447, 98430.5,  0.00,259.09
