data source says:  (in/hr) x 75.121 = (cfs)
Note:  (cfs) * 0.0283 = (m3/s)
----------------------------------------------------------------------
Time	Decimal Time	Runoff		Accum.	Discharge 	Discharge
(HHMM)	(HH.MM/60)		(in/hr) 	(in)	 (cfs)		 (m3/s)
----------------------------------------------------------------------
2057	20.95			0.0007		0		0			0.001488147
2101	21.01666667		0.001		0		0.075121	0.002125924
2104	21.06666667		0.0028		0		0.2103388	0.005952588
2109	21.15			0.0057		0		0.4281897	0.012117769
2111	21.18333333		0.0077		0.001	0.5784317	0.016369617
2115	21.25			0.0129		0.001	0.9690609	0.027424423
2119	21.31666667		0.0627		0.003	4.7100867	0.133295454
2122	21.36666667		0.173		0.009	12.995933	0.367784904
2125	21.41666667		0.647		0.029	48.603287	1.375473022
2127	21.45			1.5			0.068	112.6815	3.18888645
2129	21.48333333		3.55		0.148	266.67955	7.547031265
2131	21.51666667		4.95		0.299	371.84895	10.52332529
2132	21.53333333		5.52		0.381	414.66792	11.73510214
2133	21.55			5.84		0.469	438.70664	12.41539791
2134	21.56666667		5.17		0.577	388.37557	10.99102863
2135	21.58333333		4.64		0.654	348.56144	9.864288752
2136	21.6			4			0.721	300.484		8.5036972
2138	21.63333333		3.49		0.853	262.17229	7.419475807
2140	21.66666667		3.33		0.959	250.15293	7.079327919
2141	21.68333333		3.28		1.011	246.39688	6.973031704
2142	21.7			3.55		1.078	266.67955	7.547031265
2144	21.73333333		4.03		1.197	302.73763	8.567474929
2145	21.75			4.38		1.279	329.02998	9.311548434
2146	21.76666667		4.07		1.345	305.74247	8.652511901
2147	21.78333333		3.89		1.407	292.22069	8.269845527
2150	21.83333333		2.73		1.572	205.08033	5.803773339
2151	21.85			2.23		1.611	167.51983	4.740811189
2153	21.88333333		2.02		1.685	151.74442	4.294367086
2154	21.9			2.11		1.718	158.50531	4.485700273
2156	21.93333333		2.58		1.791	193.81218	5.484884694
2157	21.95			2.89		1.844	217.09969	6.143921227
2159	21.98333333		3.18		1.939	238.88478	6.760439274
2201	22.01666667		3.36		2.054	252.40656	7.143105648
2202	22.03333333		3.08		2.104	231.37268	6.547846844
2209	22.15			2.6			2.437	195.3146	5.52740318
2211	22.18333333		2.66		2.519	199.82186	5.654958638
2213	22.21666667		3.03		2.619	227.61663	6.441550629
2214	22.23333333		3.38		2.669	253.90898	7.185624134
2215	22.25			3.68		2.738	276.44528	7.823401424
2216	22.26666667		3.83		2.796	287.71343	8.142290069
2217	22.28333333		3.68		2.855	276.44528	7.823401424
2218	22.3			3.47		2.911	260.66987	7.376957321
2219	22.31666667		3.13		2.976	235.12873	6.654143059
2221	22.35			2.25		3.06	169.02225	4.783329675
2223	22.38333333		1.56		3.127	117.18876	3.316441908
2225	22.41666667		1.3			3.171	97.6573		2.76370159
2226	22.43333333		1.36		3.192	102.16456	2.891257048
2227	22.45			1.24		3.218	93.15004	2.636146132
2229	22.48333333		1.32		3.257	99.15972	2.806220076
2230	22.5			1.43		3.284	107.42303	3.040071749
2231	22.51666667		1.85		3.309	138.97385	3.932959955
2232	22.53333333		1.9			3.339	142.7299	4.03925617
2233	22.55			2.13		3.37	160.00773	4.528218759
2234	22.56666667		1.91		3.41	143.48111	4.060515413
2236	22.6			1.6			3.465	120.1936	3.40147888
2237	22.61666667		1.51		3.489	113.43271	3.210145693
2238	22.63333333		1.54		3.519	115.68634	3.273923422
2240	22.66666667		1.71		3.57	128.45691	3.635330553
2241	22.68333333		1.71		3.597	128.45691	3.635330553
2243	22.71666667		1.41		3.652	105.92061	2.997553263
2247	22.78333333		1.16		3.738	87.14036	2.466072188
2248	22.8			1.13		3.756	84.88673	2.402294459
2249	22.81666667		1.16		3.778	87.14036	2.466072188
2252	22.86666667		1.53		3.84	114.93513	3.252664179
2253	22.88333333		1.41		3.869	105.92061	2.997553263
2254	22.9			1.46		3.892	109.67666	3.103849478
2257	22.95			1.14		3.956	85.63794	2.423553702
2259	22.98333333		0.877		3.988	65.881117	1.864435611
2306	23.1			0.371		4.039	27.869891	0.788717915
2308	23.13333333		0.289		4.07	21.709969	0.614392123
2309	23.15			0.3			4.075	22.5363		0.63777729
2311	23.18333333		0.279		4.084	20.958759	0.59313288
2314	23.23333333		0.494		4.102	37.109774	1.050206604
2315	23.25			0.613		4.113	46.049173	1.303191596
2317	23.28333333		0.572		4.131	42.969212	1.2160287
2319	23.31666667		0.486		4.15	36.508806	1.03319921
2323	23.38333333		0.279		4.175	20.958759	0.59313288
2326	23.43333333		0.189		4.186	14.197869	0.401799693
2331	23.51666667		0.0962		4.197	7.2266402	0.204513918
2338	23.63333333		0.0427		4.205	3.2076667	0.090776968
2339	23.65			0.0382		4.206	2.8696222	0.081210308
2341	23.68333333		0.0326		4.207	2.4489446	0.069305132
2400	24				0.0088		4.214	0.6610648	0.018708134
2549	25.81666667		0.001		4.223	0.075121	0.002125924
