Width Function for Treynor Data Set
 
-----------------------------------------
Number of links        = 11
Number of bins         = 59
Number of jumps        = 12
Width function type    = geometric
Longest channel length = 0.95698487 km
Max of Width Function  = 3
-----------------------------------------
 
      0.00000      1.00000
    0.0164997      1.00000
    0.0329995      1.00000
    0.0494992      1.00000
    0.0659990      1.00000
    0.0824987      1.00000
    0.0989984      1.00000
     0.115498      1.00000
     0.131998      2.00000
     0.148498      2.00000
     0.164997      2.00000
     0.181497      2.00000
     0.197997      2.00000
     0.214497      2.00000
     0.230996      2.00000
     0.247496      2.00000
     0.263996      3.00000
     0.280496      3.00000
     0.296995      3.00000
     0.313495      2.00000
     0.329995      2.00000
     0.346495      2.00000
     0.362994      3.00000
     0.379494      3.00000
     0.395994      2.00000
     0.412493      2.00000
     0.428993      3.00000
     0.445493      3.00000
     0.461993      2.00000
     0.478492      1.00000
     0.494992      1.00000
     0.511492      1.00000
     0.527992      1.00000
     0.544491      1.00000
     0.560991      1.00000
     0.577491      1.00000
     0.593991      1.00000
     0.610490      2.00000
     0.626990      2.00000
     0.643490      2.00000
     0.659990      2.00000
     0.676489      2.00000
     0.692989      2.00000
     0.709489      2.00000
     0.725989      2.00000
     0.742488      2.00000
     0.758988      2.00000
     0.775488      2.00000
     0.791987      2.00000
     0.808487      2.00000
     0.824987      1.00000
     0.841487      1.00000
     0.857986      1.00000
     0.874486      1.00000
     0.890986      1.00000
     0.907486      1.00000
     0.923985      1.00000
     0.940485      1.00000
     0.956985      0.00000
